"Natural gas total consumption, million cubic feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,
AK,"1,965","2,222","3,911","5,506","6,738","7,594","12,282","11,889","17,548","42,726","63,726","67,706","74,658","63,073","62,874","84,751","90,121","116,278","145,025","157,236","153,345","121,727","237,881","239,200","257,524","212,765","206,453","249,268","287,648","321,529","342,585","367,217","383,121","378,240","367,225","430,231","448,110","425,394","434,871","422,817","427,289","408,960","419,131","414,234","406,318","432,972","373,849","369,966","341,887","342,259","333,312","335,458","343,110","332,299","328,945","333,603","330,552","347,733",,,,,,,,,,,,,,,,,,,,,,,,,
AL,"184,257","185,056","194,444","205,792","222,098","229,158","233,064","254,176","287,212","300,892","298,497","285,973","278,467","272,068","274,761","264,088","225,979","241,237","237,258","283,435","269,240","271,280","240,957","221,582","231,998","219,455","202,923","207,757","236,355","246,207","245,342","254,933","280,275","293,856","290,604","323,032","326,992","324,163","329,139","337,276","353,620","332,693","379,343","350,345","382,368","353,156","391,093","418,512","404,156","454,456","534,779","598,514","666,713","615,407","635,323","681,148","694,881","661,666",,,,,,,,,,,,,,,,,,,,,,,,,
AR,"214,688","208,030","227,514","252,846","278,018","277,384","289,343","295,460","321,569","349,990","381,951","333,644","316,375","327,803","290,393","258,220","248,941","229,558","220,699","250,747","273,720","264,787","226,941","206,966","210,022","195,633","199,197","169,626","216,835","249,641","232,374","209,125","224,577","229,469","241,866","252,747","268,022","260,118","266,492","252,862","251,339","227,943","242,325","246,916","215,124","213,609","233,869","226,440","234,900","244,192","271,515","284,077","296,130","282,120","268,445","291,006","309,732","311,692",,,,,,,,,,,,,,,,,,,,,,,,,
AZ,"135,531","153,713","157,933","157,412","162,440","154,334","162,126","158,766","176,547","195,476","192,996","213,313","227,909","214,323","192,446","156,222","171,275","167,092","175,041","172,738","165,850","182,533","135,031","115,233","121,150","130,776","101,249","117,187","124,366","145,642","126,726","125,052","129,749","114,941","136,059","123,618","123,902","134,759","158,550","165,291","205,466","240,812","250,734","272,921","349,622","321,584","358,068","392,954","399,188","369,739","330,913","288,802","332,070","332,073","306,714","351,263","360,575","322,746",,,,,,,,,,,,,,,,,,,,,,,,,
CA,"1,257,803","1,352,825","1,433,259","1,518,587","1,696,770","1,689,854","1,849,165","1,911,132","2,046,080","2,048,534","2,126,466","2,149,264","2,185,543","2,045,627","1,834,413","1,832,849","1,756,611","1,772,041","1,563,172","1,810,381","1,807,731","1,858,178","1,682,718","1,535,031","1,669,706","1,846,078","1,531,323","1,934,909","1,804,453","1,974,778","2,036,436","2,150,229","2,229,480","2,136,208","2,282,284","2,076,728","1,955,116","2,146,394","2,310,113","2,339,781","2,509,130","2,464,565","2,273,192","2,269,405","2,406,889","2,248,256","2,315,720","2,395,674","2,405,264","2,328,504","2,273,129","2,153,188","2,403,494","2,415,572","2,339,392","2,301,217","2,172,888","2,114,646",,,,,,,,,,,,,,,,,,,,,,,,,
CO,"188,370","203,741","195,469","198,641","228,565","224,214","227,484","231,508","256,820","272,437","282,328","289,369","309,703","324,007","313,056","307,772","302,284","282,215","267,838","292,272","256,363","211,780","224,991","213,812","229,646","218,942","197,846","210,148","227,585","247,129","246,523","267,989","260,373","291,708","278,971","290,458","315,248","314,517","330,293","333,127","367,967","463,738","459,397","436,254","440,378","470,321","450,832","504,775","504,784","523,726","501,351","466,680","443,750","467,798","478,986","466,907","441,019","437,806",,,,,,,,,,,,,,,,,,,,,,,,,
CT,"28,453","30,361","32,227","34,809","37,502","40,822","47,695","49,780","53,202","57,485","60,574","61,434","64,008","62,609","66,343","64,011","65,855","64,068","65,191","67,957","72,583","76,829","78,246","74,427","81,138","78,215","78,902","91,843","88,130","98,651","105,476","112,351","122,737","122,580","130,489","140,989","135,361","144,715","131,505","152,248","159,723","146,278","177,587","154,075","162,642","168,067","172,682","180,181","166,800","185,055","199,426","230,035","229,156","234,475","235,859","254,065","247,957","239,624",,,,,,,,,,,,,,,,,,,,,,,,,
DC,"12,513","13,257","14,244","14,961","15,884","16,909","17,198","21,409","22,463","24,686","25,986","27,227","28,520","27,815","27,232","25,899","28,696","25,799","26,133","29,655","27,868","29,023","29,280","29,340","29,449","28,902","29,587","30,988","32,719","33,423","28,864","31,101","32,956","33,093","30,849","33,003","33,908","34,110","30,413","32,286","33,474","29,802","32,898","32,814","32,227","32,085","29,049","32,966","31,881","33,178","33,251","32,863","28,561","32,743","33,847","32,236","28,888","30,181",,,,,,,,,,,,,,,,,,,,,,,,,
DE,"9,035","9,380","14,492","16,378","17,091","17,969","19,045","21,063","24,059","25,863","26,421","26,452","24,088","22,949","20,365","18,603","19,182","15,787","20,626","24,981","29,797","30,643","27,833","34,884","42,963","38,493","33,009","36,704","29,258","34,923","39,127","41,948","39,608","41,612","48,646","60,676","54,043","46,513","40,812","56,016","48,391","50,113","52,216","46,177","48,057","46,904","43,190","48,155","48,162","50,148","54,826","79,717","101,676","95,979","101,380","102,693","108,562","98,949",,,,,,,,,,,,,,,,,,,,,,,,,
FL,"138,068","143,859","157,336","174,894","182,128","184,830","212,289","225,531","273,524","311,885","336,816","336,721","298,977","311,498","289,551","280,095","289,017","302,344","318,344","344,177","316,588","337,557","324,807","306,307","303,309","289,706","288,541","300,338","293,434","323,591","327,894","344,129","353,800","349,820","391,107","560,803","534,424","522,138","503,867","559,394","541,943","543,143","689,337","689,986","734,179","778,209","891,611","917,245","942,700","1,055,341","1,158,451","1,217,688","1,328,463","1,225,677","1,214,530","1,345,790","1,382,559","1,384,968",,,,,,,,,,,,,,,,,,,,,,,,,
